representation,anchor_a,anchor_b,parallel_branch_index,dense_length_mm,length_mm,absolute_length_error_mm,absolute_arc_chord_tortuosity_error,reference_samples,representation_samples,subject,stratum
junction_only,67,74,0,14.995155845581378,13.120186059144226,1.874969786437152,0.14290725588684589,61,54,topcow_ct_005,TopBrain-CT
junction_only,68,69,0,20.409067143486073,1.620580679349612,18.78848646413646,11.593675466794314,83,8,topcow_ct_005,TopBrain-CT
junction_only,68,69,1,1.899998970766913,1.620580679349612,0.2794182914173009,0.17241862437199973,9,8,topcow_ct_005,TopBrain-CT
junction_only,68,128,0,27.446755571772812,19.896725853944695,7.550029717828117,0.37946091096848783,111,81,topcow_ct_005,TopBrain-CT
junction_only,69,72,0,11.814393044904172,9.733365467314607,2.0810275775895644,0.21380349731835463,49,40,topcow_ct_005,TopBrain-CT
junction_only,70,70,0,27.23542973379399,0.0,27.23542973379399,nan,110,1,topcow_ct_005,TopBrain-CT
junction_only,70,124,0,8.517622775488784,6.4724853345720295,2.045137440916754,0.3159740555908083,36,27,topcow_ct_005,TopBrain-CT
junction_only,71,72,0,5.5985753398436975,4.5234375,1.0751378398436975,0.2376815949913528,24,20,topcow_ct_005,TopBrain-CT
junction_only,71,73,0,28.62296798921851,7.1120745218189505,21.51089346739956,3.0245596276314095,116,30,topcow_ct_005,TopBrain-CT
junction_only,72,73,0,6.858880307666241,5.414823404322619,1.444056903343622,0.2666858723759745,29,23,topcow_ct_005,TopBrain-CT
junction_only,73,125,0,15.898319229543866,13.851324553793809,2.0469946757500566,0.1477833161586987,65,57,topcow_ct_005,TopBrain-CT
junction_only,73,126,0,12.84330002686864,10.471344128217853,2.3719558986507874,0.22651876106897437,53,43,topcow_ct_005,TopBrain-CT
junction_only,74,75,0,18.59705506588407,10.628331279238994,7.968723786645077,0.7497624582149505,76,44,topcow_ct_005,TopBrain-CT
junction_only,74,75,1,17.476840832690804,10.628331279238994,6.848509553451811,0.6443635763244835,71,44,topcow_ct_005,TopBrain-CT
junction_only,75,127,0,15.11454043622501,11.937305708497416,3.177234727727594,0.266160120659884,62,49,topcow_ct_005,TopBrain-CT
junction_only,75,129,0,12.373132859723302,9.89609408921804,2.4770387705052617,0.2503046907369279,51,41,topcow_ct_005,TopBrain-CT
junction_only,87,89,0,23.079913314319562,15.490680477003746,7.589232837315816,0.4899224955664277,94,63,topcow_ct_005,TopBrain-CT
junction_only,118,119,0,20.92580891582503,12.972185162516954,7.953623753308076,0.6131290645071904,85,53,topcow_ct_005,TopBrain-CT
adaptive,0,1,0,6.730271196042709,4.89982339117163,1.8304478048710795,0.3769386566155614,28,21,topcow_ct_005,TopBrain-CT
adaptive,0,2,0,14.85100779628403,12.856765736327652,1.9942420599563775,0.18517061630714546,61,53,topcow_ct_005,TopBrain-CT
adaptive,0,78,0,4.7619111577918565,3.7200709969913546,1.041840160800502,0.2800592143652906,21,16,topcow_ct_005,TopBrain-CT
adaptive,1,11,0,15.55276711827685,11.161232855590441,4.39153426268641,0.42112476657490616,64,46,topcow_ct_005,TopBrain-CT
adaptive,1,77,0,10.255704847761166,8.777068341989068,1.4786365057720978,0.1738087078377183,43,37,topcow_ct_005,TopBrain-CT
adaptive,2,6,0,27.468581735638065,22.1670084536954,5.301573281942666,0.39701830387988996,111,90,topcow_ct_005,TopBrain-CT
adaptive,2,76,0,14.46536610815879,12.662094453492738,1.8032716546660517,0.1697122989303044,59,52,topcow_ct_005,TopBrain-CT
adaptive,3,14,0,16.325814656527704,13.615761313665079,2.7100533428626257,0.24712342573306292,67,56,topcow_ct_005,TopBrain-CT
adaptive,3,80,0,11.169963140520904,8.496809465888742,2.6731536746321627,0.37014121279163803,46,35,topcow_ct_005,TopBrain-CT
adaptive,3,81,0,10.393794284506551,7.804615301148172,2.589178983358379,0.36181141353192253,43,33,topcow_ct_005,TopBrain-CT
adaptive,4,5,0,9.049405288551213,8.089914445755507,0.9594908427957058,0.12101275198083884,38,34,topcow_ct_005,TopBrain-CT
adaptive,4,5,1,19.273425455360837,14.45332115850536,4.820104296855476,0.6079204300664096,79,59,topcow_ct_005,TopBrain-CT
adaptive,4,17,0,25.614914977256372,21.812508929208246,3.8024060480481268,0.21594068182584622,104,89,topcow_ct_005,TopBrain-CT
adaptive,4,82,0,12.031830608343448,10.797456859951714,1.234373748391734,0.12165007013727556,50,45,topcow_ct_005,TopBrain-CT
adaptive,5,8,0,11.471714969502761,9.403945850117942,2.0677691193848187,0.26193312481774667,47,39,topcow_ct_005,TopBrain-CT
adaptive,6,7,0,7.9112264134010335,7.05058522565954,0.8606411877414937,0.12470928460897569,33,30,topcow_ct_005,TopBrain-CT
adaptive,6,12,0,7.885785991746815,6.320999115959219,1.564786875787596,0.2506093836122369,33,27,topcow_ct_005,TopBrain-CT
adaptive,7,8,0,1.698531649874385,1.6023435595441136,0.09618809033027143,0.060029629574345544,8,8,topcow_ct_005,TopBrain-CT
adaptive,7,83,0,5.723824374049886,4.638011390711153,1.0858129833387329,0.25302639578116964,24,20,topcow_ct_005,TopBrain-CT
